50 50
##################################################
#CCCCCCCCCCCCCCCCCCCCCCCCCCCC....................#
#CCCCCCCCCCCCCCCCCCCCCCCCCCCC....................#
#CCCCCCCCCCCCCCCCCCCCCCCCCCCC....................#
#CCCCCCCCCCCCCCCCCCCCCCCCCCCC....................#
#CCCCCCCCCCCCCCCCCCCCCCCCCCCC....................#
#CCCCCCCCCCCCCCCCCCCCCCCCCCCC....................#
#CCCCCCCCCCCCCCCCCCCCCCCCCCCC....................#
#CCCCCCCCCCCCCCCCCCCCCCCCCCCC....................#
#############################....................#
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#  =======     =======     =======      ======   #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
######################@@@@########################
**************************************************
**************************************************
**************************************************
**************************************************
