BehaviorSpace results (NetLogo 6.4.0);Spreadsheet version 2.0;;;;;;;;;;;;;;;;;
MAS4CHICKEN - no estocastico.nlogo;;;;;;;;;;;;;;;;;;
experimento-no-estocastico 2;;;;;;;;;;;;;;;;;;
10/19/2024 10:31:59:063 -0500;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;
-40;40;-40;48;;;;;;;;;;;;;;;
[run number];1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9
Intervalo-Pausa;15;;15;;15;;15;;15;;15;;15;;15;;15;
Umbral-tiempo-espera;30;;30;;30;;30;;30;;30;;30;;30;;30;
Cocineros;6;;6;;6;;8;;8;;8;;10;;10;;10;
Meseros;1;;1;;1;;1;;1;;1;;1;;1;;1;
Tiempo-preparacion;20;;20;;20;;20;;20;;20;;20;;20;;20;
Version-Web;false;;false;;false;;false;;false;;false;;false;;false;;false;
Intervalo-Clientes;10;;10;;10;;10;;10;;10;;10;;10;;10;
Recurso-URL;;;;;;;;;;;;;;;;;;
Feriado-Fin-de-Semana;false;;false;;false;;false;;false;;false;;false;;false;;false;
[total steps];28800;28800;28800;28800;28800;28800;28800;28800;28800;28800;28800;28800;28800;28800;28800;28800;28800;28800
;;;;;;;;;;;;;;;;;;
[final value];[step];get-waiting-time;[step];get-waiting-time;[step];get-waiting-time;[step];get-waiting-time;[step];get-waiting-time;[step];get-waiting-time;[step];get-waiting-time;[step];get-waiting-time;[step];get-waiting-time
;28800;6.241333333;28800;6.608666667;28800;4.433333333;28800;6.471428571;28800;7.943333333;28800;5.678;28800;6.744217687;28800;7.401020408;28800;6.059333333
