"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"MAS4CHICKEN.nlogo"
"experiment"
"06/02/2024 20:59:20:621 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"Cocineros","Meseros","Intervalo-Clientes","[step]","(mean) get-waiting-time","(std) get-waiting-time"
"4","5","20","0","0","0"
"4","5","20","1","73.5","10.032447358446493"
"4","5","20","2","73.5","10.032447358446493"
"4","5","20","3","73.5","10.032447358446493"
"4","5","20","4","73.5","10.032447358446493"
"4","5","20","5","73.5","10.032447358446493"
"4","5","20","6","73.5","10.032447358446493"
"4","5","20","7","73.5","10.032447358446493"
"4","5","20","8","73.5","10.032447358446493"
"4","5","20","9","73.5","10.032447358446493"
"4","5","20","10","73.5","10.032447358446493"
"4","5","20","11","73.5","10.032447358446493"
"4","5","20","12","73.5","10.032447358446493"
"4","5","20","13","73.5","10.032447358446493"
"4","5","20","14","73.5","10.032447358446493"
"4","5","20","15","73.5","10.032447358446493"
"4","5","20","16","73.5","10.032447358446493"
"4","5","20","17","73.5","10.032447358446493"
"4","5","20","18","73.5","10.032447358446493"
"4","5","20","19","73.5","10.032447358446493"
"4","5","20","20","73.5","10.032447358446493"
"4","5","20","21","73.5","10.032447358446493"
"4","5","20","22","73.5","10.032447358446493"
"4","5","20","23","73.5","10.032447358446493"
"4","5","20","24","73.5","10.032447358446493"
"4","5","20","25","73.5","10.032447358446493"
"4","5","20","26","73.5","10.032447358446493"
"4","5","20","27","73.5","10.032447358446493"
"4","5","20","28","73.5","10.032447358446493"
"4","5","20","29","73.5","10.032447358446493"
"4","5","20","30","73.5","10.032447358446493"
"4","5","20","31","73.5","10.032447358446493"
"4","5","20","32","73.5","10.032447358446493"
"4","5","20","33","73.5","10.032447358446493"
"4","5","20","34","73.5","10.032447358446493"
"4","5","20","35","73.5","10.032447358446493"
"4","5","20","36","73.5","10.032447358446493"
"4","5","20","37","73.5","10.032447358446493"
"4","5","20","38","73.5","10.032447358446493"
"4","5","20","39","73.5","10.032447358446493"
"4","5","20","40","73.5","10.032447358446493"
"4","5","20","41","73.5","10.032447358446493"
"4","5","20","42","73.5","10.032447358446493"
"4","5","20","43","73.5","10.032447358446493"
"4","5","20","44","73.5","10.032447358446493"
"4","5","20","45","73.5","10.032447358446493"
"4","5","20","46","73.5","10.032447358446493"
"4","5","20","47","73.5","10.032447358446493"
"4","5","20","48","73.5","10.032447358446493"
"4","5","20","49","73.5","10.032447358446493"
"4","5","20","50","73.5","10.032447358446493"
"4","5","20","51","73.5","10.032447358446493"
"4","5","20","52","73.5","10.032447358446493"
"4","5","20","53","73.5","10.032447358446493"
"4","5","20","54","73.5","10.032447358446493"
